Vdrain,FG,gas conc. (ppm),FG/CuO/CS
4.2,5.8233E-07,500,1.01637E-06,,,,,,,
4.4,6.28356E-07,500,1.13241E-06,,,,,,,
4.6,6.8018E-07,500,1.27547E-06,,,,,,,
4.8,7.32731E-07,500,1.41843E-06,,,,,,,
5,7.86112E-07,500,1.57436E-06,,,,,,,
5.2,8.41129E-07,500,1.73749E-06,,,,,,,
5.4,9.01288E-07,500,1.91496E-06,,,,,,,
5.6,9.75328E-07,500,2.10907E-06,,,,,,,
5.8,1.03624E-06,500,2.30594E-06,,,,,,,
6,1.10473E-06,500,2.49864E-06,,,,,,,
6.2,1.16852E-06,500,2.69807E-06,,,,,,,
6.4,1.23189E-06,500,2.90609E-06,,,,,,,
6.6,1.29353E-06,500,3.13257E-06,,,,,,,
6.8,1.37134E-06,500,3.36142E-06,,,,,,,
7,1.4238E-06,500,3.61037E-06,,,,,,,
7.2,1.48747E-06,500,3.87505E-06,,,,,,,
7.4,1.54893E-06,500,4.1305E-06,,,,,,,
7.6,1.62633E-06,500,4.39589E-06,,,,,,,
7.8,1.68429E-06,500,4.69588E-06,,,,,,,
8,1.75615E-06,500,4.97621E-06,,,,,,,
8.2,1.82706E-06,500,5.29384E-06,,,,,,,
8.4,1.93504E-06,500,5.58903E-06,,,,,,,
8.6,2.0084E-06,500,5.92059E-06,,,,,,,
8.8,2.07607E-06,500,6.30378E-06,,,,,,,
9,2.15429E-06,500,6.66021E-06,,,,,,,
9.2,2.21989E-06,500,7.05729E-06,,,,,,,
9.4,2.30422E-06,500,7.44426E-06,,,,,,,
9.6,2.38218E-06,500,7.81152E-06,,,,,,,
9.8,2.48485E-06,500,8.20442E-06,,,,,,,
10,2.52671E-06,500,8.58856E-06,,,,,,,
0,8.851E-12,1000,2.76557E-08,,,,,,,
0.2,2.3881E-08,1000,3.66908E-08,,,,,,,
0.4,4.7595E-08,1000,4.74031E-08,,,,,,,
0.6,7.0975E-08,1000,6.22982E-08,,,,,,,
0.8,9.5023E-08,1000,8.26683E-08,,,,,,,
1,1.19405E-07,1000,1.07219E-07,,,,,,,
1.2,1.44121E-07,1000,1.35923E-07,,,,,,,
1.4,1.69203E-07,1000,1.71153E-07,,,,,,,
1.6,1.94388E-07,1000,2.11735E-07,,,,,,,
1.8,2.23142E-07,1000,2.60017E-07,,,,,,,
2,2.50639E-07,1000,3.14041E-07,,,,,,,
2.2,2.79655E-07,1000,3.87787E-07,,,,,,,
2.4,3.09518E-07,1000,4.6001E-07,,,,,,,
2.6,3.40925E-07,1000,5.39077E-07,,,,,,,
2.8,3.75877E-07,1000,6.33185E-07,,,,,,,
3,4.10354E-07,1000,7.42427E-07,,,,,,,
3.2,4.48423E-07,1000,8.60183E-07,,,,,,,
3.4,4.88699E-07,1000,9.74913E-07,,,,,,,
3.6,5.29584E-07,1000,1.11762E-06,,,,,,,
3.8,5.72324E-07,1000,1.27436E-06,,,,,,,
4,6.21499E-07,1000,1.44653E-06,,,,,,,
4.2,6.70684E-07,1000,1.62237E-06,,,,,,,
4.4,7.23693E-07,1000,1.8076E-06,,,,,,,
4.6,7.8338E-07,1000,2.03596E-06,,,,,,,
4.8,8.43904E-07,1000,2.26416E-06,,,,,,,
5,9.05384E-07,1000,2.51306E-06,,,,,,,
5.2,9.68749E-07,1000,2.77345E-06,,,,,,,
5.4,1.03804E-06,1000,3.05675E-06,,,,,,,
5.6,1.12331E-06,1000,3.36658E-06,,,,,,,
5.8,1.19347E-06,1000,3.68084E-06,,,,,,,
6,1.27234E-06,1000,3.98844E-06,,,,,,,
6.2,1.34581E-06,1000,4.30678E-06,,,,,,,
6.4,1.4188E-06,1000,4.63882E-06,,,,,,,
6.6,1.48979E-06,1000,5.00035E-06,,,,,,,
6.8,1.5794E-06,1000,5.36564E-06,,,,,,,
7,1.63982E-06,1000,5.76303E-06,,,,,,,
7.2,1.71315E-06,1000,6.18552E-06,,,,,,,
7.4,1.78394E-06,1000,6.59328E-06,,,,,,,
7.6,1.87308E-06,1000,7.01692E-06,,,,,,,
7.8,1.93984E-06,1000,7.49578E-06,,,,,,,
8,2.0226E-06,1000,7.94325E-06,,,,,,,
8.2,2.10427E-06,1000,8.45026E-06,,,,,,,
8.4,2.22863E-06,1000,8.92146E-06,,,,,,,
8.6,2.31312E-06,1000,9.45071E-06,,,,,,,
8.8,2.39106E-06,1000,1.00624E-05,,,,,,,
9,2.48115E-06,1000,1.06313E-05,,,,,,,
9.2,2.5567E-06,1000,1.12652E-05,,,,,,,
9.4,2.65383E-06,1000,1.18829E-05,,,,,,,
9.6,2.74361E-06,1000,1.24691E-05,,,,,,,
9.8,2.86186E-06,1000,1.30963E-05,,,,,,,
10,2.91008E-06,1000,1.37094E-05
