Time(s),Electrode Distance (mm),LA Conc (mM),Resistance (Mohm)
108,7,1.11,0.0484
109,7,1.11,0.0484
110,7,1.11,0.0483
111,7,1.11,0.0483
112,7,1.11,0.0483
113,7,1.11,0.0483
114,7,1.11,0.0483
115,7,1.11,0.0541
116,7,1.11,0.057
117,7,1.11,0.0561
118,7,1.11,0.056
119,7,1.11,0.0558
120,7,1.11,0.0557
