Time(s),Resistance (Mohm),LA Conc (mM),Electrode Distance (mm)
38,81.2,0.055,1
39,81.2,0.055,1
40,81.2,0.055,1
41,81.2,0.055,1
42,81.2,0.055,1
43,81.2,0.055,1
44,81.2,0.055,1
45,81.2,0.055,1
46,81.2,0.055,1
47,81.2,0.055,1
48,81.2,0.055,1
49,81.2,0.055,1
50,81.2,0.055,1
51,81.2,0.055,1
52,81.2,0.055,1
53,81.2,0.055,1
54,81.2,0.055,1
55,81.2,0.055,1
56,81.2,0.055,1
57,81.2,0.055,1
58,81.2,0.055,1
59,81.2,0.055,1
60,81.2,0.055,1
61,81.2,0.055,1
62,81.2,0.055,1
63,81.2,0.055,1
64,81.2,0.055,1
65,81.2,0.055,1
66,81.2,0.055,1
67,81.2,0.055,1
68,81.2,0.055,1
69,81.2,0.055,1
70,81.2,0.055,1
71,81.2,0.055,1
72,81.2,0.055,1
73,81.2,0.055,1
74,81.2,0.055,1
75,81.2,0.055,1
76,81.2,0.055,1
77,81.2,0.055,1
78,81.2,0.055,1
79,81.2,0.055,1
80,81.2,0.055,1
81,81.2,0.055,1
82,81.2,0.055,1
83,81.2,0.055,1
84,81.2,0.055,1
85,81.2,0.055,1
86,81.2,0.055,1
87,81.2,0.055,1
88,81.2,0.055,1
89,81.2,0.055,1
90,81.2,0.055,1
91,81.2,0.055,1
92,81.2,0.055,1
93,81.2,0.055,1
94,81.2,0.055,1
95,81.2,0.055,1
96,81.2,0.055,1
97,81.2,0.055,1
98,81.2,0.055,1
99,81.2,0.055,1
100,81.2,0.055,1
101,81.2,0.055,1
102,81.2,0.055,1
103,81.2,0.055,1
104,81.2,0.055,1
105,81.2,0.055,1
106,81.2,0.055,1
107,81.2,0.055,1
108,81.2,0.055,1
109,81.2,0.055,1
110,81.2,0.055,1
111,81.2,0.055,1
112,81.2,0.055,1
113,81.2,0.055,1
114,81.2,0.055,1
115,81.2,0.055,1
116,81.2,0.055,1
117,81.2,0.055,1
118,81.2,0.055,1
119,81.2,0.055,1
120,81.2,0.055,1
121,81.2,0.055,1
122,81.2,0.055,1
123,81.2,0.055,1
124,81.2,0.055,1
125,81.2,0.055,1
126,81.2,0.055,1
127,81.2,0.055,1
128,81.2,0.055,1
129,81.2,0.055,1
130,81.2,0.055,1
131,81.2,0.055,1
132,81.2,0.055,1
133,81.2,0.055,1
134,81.2,0.055,1
135,81.2,0.055,1
136,81.2,0.055,1
137,81.2,0.055,1
138,81.2,0.055,1
139,81.2,0.055,1
140,81.2,0.055,1
141,81.2,0.055,1
